name,role,dependencies,operation,family,availability,formula,unit,missing_policy,invalid_policy,justification,variant
search_volume,numeric,search_volume,identity,raw,Configured cutoff input; historical availability unverified,search_volume,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
competition,numeric,competition,identity,raw,Configured cutoff input; historical availability unverified,competition,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
cpc,numeric,cpc,identity,raw,Configured cutoff input; historical availability unverified,cpc,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
word_count,numeric,word_count,identity,raw,Configured cutoff input; historical availability unverified,word_count,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
char_count,numeric,char_count,identity,raw,Configured cutoff input; historical availability unverified,char_count,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
impressions_prev_30d,numeric,impressions_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,impressions_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
clicks_prev_30d,numeric,clicks_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,clicks_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
sessions_prev_30d,numeric,sessions_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,sessions_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
content_age_days,numeric,content_age_days,identity,raw,Configured cutoff input; historical availability unverified,content_age_days,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
age_tier_order,numeric,age_tier_order,identity,raw,Configured cutoff input; historical availability unverified,age_tier_order,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
days_since_last_update,numeric,days_since_last_update,identity,raw,Configured cutoff input; historical availability unverified,days_since_last_update,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
competition_level,categorical,competition_level,identity,raw,Configured cutoff input; historical availability unverified,competition_level,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
content_type,categorical,content_type,identity,raw,Configured cutoff input; historical availability unverified,content_type,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
main_intent,categorical,main_intent,identity,raw,Configured cutoff input; historical availability unverified,main_intent,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
model_used,categorical,model_used,identity,raw,Configured cutoff input; historical availability unverified,model_used,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
age_tier,categorical,age_tier,identity,raw,Configured cutoff input; historical availability unverified,age_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
freshness_tier,categorical,freshness_tier,identity,raw,Configured cutoff input; historical availability unverified,freshness_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
word_count_tier,categorical,word_count_tier,identity,raw,Configured cutoff input; historical availability unverified,word_count_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
char_count_tier,categorical,char_count_tier,identity,raw,Configured cutoff input; historical availability unverified,char_count_tier,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,A
search_volume,numeric,search_volume,identity,raw,Configured cutoff input; historical availability unverified,search_volume,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
competition,numeric,competition,identity,raw,Configured cutoff input; historical availability unverified,competition,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
cpc,numeric,cpc,identity,raw,Configured cutoff input; historical availability unverified,cpc,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
word_count,numeric,word_count,identity,raw,Configured cutoff input; historical availability unverified,word_count,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
char_count,numeric,char_count,identity,raw,Configured cutoff input; historical availability unverified,char_count,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
impressions_prev_30d,numeric,impressions_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,impressions_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
clicks_prev_30d,numeric,clicks_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,clicks_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
sessions_prev_30d,numeric,sessions_prev_30d,identity,raw,Configured cutoff input; historical availability unverified,sessions_prev_30d,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
content_age_days,numeric,content_age_days,identity,raw,Configured cutoff input; historical availability unverified,content_age_days,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
age_tier_order,numeric,age_tier_order,identity,raw,Configured cutoff input; historical availability unverified,age_tier_order,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
days_since_last_update,numeric,days_since_last_update,identity,raw,Configured cutoff input; historical availability unverified,days_since_last_update,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
competition_level,categorical,competition_level,identity,raw,Configured cutoff input; historical availability unverified,competition_level,source units,Train median; entirely missing numeric fallback zero; categorical missing token,Reject negative/non-finite numeric sources and ratio overflow,Existing approved reference input,B
